id,tytul,autor,ilosc,kategoria
936,"Województwa Łódzkie (przed reformą)",PPWK,1,Mapy
937,"Zielona Góra - plan miasta",Maplan,1,Mapy
938,"Łęczyca - plan miasta","Urząd Miasta Łęczyca",3,Mapy
939,"Trojmezi - Trojstyk - Trojmedzie","Wydawnictwo Compass",3,Mapy
940,"Wielkie Jeziora Mazurskie",PPWK,2,Mapy
941,"Gmina Bolimów",Azymut,1,Mapy
942,"Jezioro Chycina, Cisie","Gazeta Lubuska",1,Mapy
943,Karkonosze,PPWK,1,Mapy
944,"Łodzkie - europejskie szlaki kulturowe","Urząd marszałkowski w Łodzi",2,Mapy
945,"Szlaki rowerowe regionu łódzkiego","Urząd Marszałkowski Województwa Łódzkiego",1,Mapy
946,"Szlakiem zamków regionu łódzkiego","Urząd Marszałkowski Województwa Łódzkiego",1,Mapy
947,"Pamiątki kultury żydowskiej regionu łódxkiego","Urząd marszałkowski w Łodzi",1,Mapy
948,"Szlakiem I wojny światowej regionu łódzkiego","Urząd Marszałkowski Województwa Łódzkiego",1,Mapy
949,"Kościół polowy Armii Krajowej w Spale","Włodzimierz Jakulski - Wroniec",1,Turystyka
950,"Podręcznik paintballu","Bil Barnes",1,"Specjalności i techniki harcerskie"
951,"Przewodnik ratownika HOPR","dr. n. med. Beata Badowicz",2,"Specjalności i techniki harcerskie"
952,"Jachtowy poradnik medyczny","Jerzy Morzycki",1,"Specjalności i techniki harcerskie"
953,"Bandażowanie","A. Chrąszczewska",4,"Specjalności i techniki harcerskie"
954,"Podręcznik szkolenia drużyn sanitarnych PCK III stopnia","Polski Czerwony Krzyż ",1,"Specjalności i techniki harcerskie"
955,"ABIII Imprez na orientację","Jerzy Dymarski",2,"Specjalności i techniki harcerskie"
956,"Z czym w XXI wiek, wczoraj, dziś i jutro. Wspólnoty Drużyn Grunwaldzkich","Praca zbiorowa",1,"Specjalności i techniki harcerskie"
957,"Bieg na orientację","Bretislaw Koc",3,"Specjalności i techniki harcerskie"
958,"ABC biegu na orientację","Sławomir Solka, Grzegorz Zwoliński",2,"Specjalności i techniki harcerskie"
959,"Harcerskie biegi, Kraków 1986","Wojciech Śliwierski",2,"Specjalności i techniki harcerskie"
960,"Pod harcerską banderą","Wojciech Kuczkowski",2,"Specjalności i techniki harcerskie"
961,"Żeglarz i sternik jachtowy","Andrzej Kolaszewski, Piotr Świdiński",1,"Specjalności i techniki harcerskie"
962,"Żeglowanie na desce","Piotr Jankowiak",1,"Specjalności i techniki harcerskie"
963,"Jachtowe napędy silnikowe","Zbigniew ąbrowski",1,"Specjalności i techniki harcerskie"
964,"Meteorologia - Podręcznik RYA ","Chris Tibbs",1,"Specjalności i techniki harcerskie"
965,"AB Imprez na orientację","Jerzy Dymarski",1,"Specjalności i techniki harcerskie"
966,"Skrypt na stopnie żeglaża i sternika jachtowego","Warszawski Okręgowy Związek Żeglarski",1,"Specjalności i techniki harcerskie"
967,"Biblia węzłów - 200 najbardziej przydatnych węzłów",Almapress,1,"Specjalności i techniki harcerskie"
968,"Olimpijskie żagle","Włodzimierz Głowacki, Wiesław Rogala",1,"Specjalności i techniki harcerskie"
969,"Medycyna obozowa","Zbigniew Szymczak",2,"Specjalności i techniki harcerskie"
970,"Nauka nurkowania w weekend","Reg Vallintine",1,"Specjalności i techniki harcerskie"
971,"Vademecum manewrowania jactem na silniku","Jerzy Szelestowski",1,"Specjalności i techniki harcerskie"
972,"Morski nawigacyjny złownik frazeologiczny","Polski Rejestr Statków",1,"Specjalności i techniki harcerskie"
973,"Budownictwo drewniane","Marek Wiśniewski",1,"Specjalności i techniki harcerskie"
974,"Harcerski poradnik medyczny","pwd. Sylwia Jurszo, pwd. Karolina Kurkowska",3,"Specjalności i techniki harcerskie"
975,"Żeglarstwo śródlądowe","S. Wysocki",1,"Specjalności i techniki harcerskie"
976,"Jachtowe roboty bosmańskie","Adam Gańko, Jerzy Dziewulski",1,"Specjalności i techniki harcerskie"
977,Terenoznawstwo,"Brak autora",1,"Specjalności i techniki harcerskie"
978,"Vademecum sygnalizacji jachtowej","Jerzy dziewulski i inni",1,"Specjalności i techniki harcerskie"
979,"Sygnalizacja ","Brak autora",2,"Specjalności i techniki harcerskie"
980,radionawigacja,"Jacek Czajewski",1,"Specjalności i techniki harcerskie"
981,"Harcerski klub sportowy SOPOT i jego następcy","Dariusz Szczecina",1,"Specjalności i techniki harcerskie"
982,"Poradnik drużynowego drużyny grunwaldzkiej ","Barbara Bogdańska - Pawłowska",1,"Specjalności i techniki harcerskie"
983,"Kiedy z morza wraca JAck","Cztery Refy",1,"Specjalności i techniki harcerskie"
984,"Krajoznawstwo i turystyka w szkole","Andrzej Gordon i inni",1,"Specjalności i techniki harcerskie"
985,"Żeglarstwo morskie","Włodzimierz Głowacki",1,"Specjalności i techniki harcerskie"
986,"Manewrowanie jachtem 1. komeny żeglarskie","Tadeusz Adamowicz",1,"Specjalności i techniki harcerskie"
987,"Harcerskie drużyny jeździeckie","Helena Anna Jędzrejczak ",1,"Specjalności i techniki harcerskie"
988,"Zarys historii turystyki","Zbigniew Kulczycki",1,"Specjalności i techniki harcerskie"
989,"Materiały programowe. Zeszyt Nr 1. ","Wspólnota drużyn Grunwaldzkich",1,"Specjalności i techniki harcerskie"
990,"Szkolenia spadochronowe w ZHP","phm. Ryszard Rybarczyk",1,"Specjalności i techniki harcerskie"
991,"Poradnik poczt harcerskich","hm. Tadeusz Uliński",2,"Specjalności i techniki harcerskie"
992,"Poradnik metodyczny dla drużynm zastępów MSR i klubów motoryzacyjnych","Chorągiew Łódzka",3,"Specjalności i techniki harcerskie"
993,"Harcerz w służbie powszechnej samoobriny","Ministerstwo obrony narodowej",1,"Specjalności i techniki harcerskie"
994,"Szkice polowe harcerza","Stanisłąw Ga Kowski",1,"Specjalności i techniki harcerskie"
995,"Organizacja regat żeglarskich","Wojciech Karpiński",1,"Specjalności i techniki harcerskie"
996,"Żeglarstwo. Wszystko o...","Stefan Wysocki",1,"Specjalności i techniki harcerskie"
997,"Przygoda z harcerskimi specjalnościami","Gabryjela Zielińska",4,"Specjalności i techniki harcerskie"
998,"Znaki umowne map topograficznych","Ministerstwo obrony narodowej",1,"Specjalności i techniki harcerskie"
999,"Węzły","Geaoffrey Budworth",1,"Specjalności i techniki harcerskie"
1000,"Poradnik rużynowego drużyny służby zdrowia","Maria Głowińska",2,"Specjalności i techniki harcerskie"
1001,"Harce z mapą. Podręcznik terenoznawstwa dla harcerzy.","phm. Bogdan Sołtysiak",3,"Specjalności i techniki harcerskie"
1002,"Żegluj!","Stefan Wysocki",2,"Specjalności i techniki harcerskie"
1003,"Wędrujemy z mapą i kompasem",WSiP,3,"Specjalności i techniki harcerskie"
1004,"Księga szyfrów","phm. Marek Niewiarowski",2,"Specjalności i techniki harcerskie"
1005,"Imprezy na orientację. poradnik dla organizatorów","Jerzy Dymarski",2,"Specjalności i techniki harcerskie"
1006,"Szyfry ","Grzegorz Całek",5,"Specjalności i techniki harcerskie"
1007,Szyfry,"Wojciech Śliwierski",1,"Specjalności i techniki harcerskie"
1008,"77 piosenek żeglarskich","Akademicki Klub Żeglarski - Łódź",1,"Specjalności i techniki harcerskie"
1009,"Pierwszy harcerski start w regatach samotnych przez atlantyk","Związek Harcerstwa Polskiego",1,"Specjalności i techniki harcerskie"
1010,"Stemple pocztowe o tematyce harcerskiej 1914 - 1980","Ryszard Jakubowski, Witold Rusiniak",1,"Specjalności i techniki harcerskie"
1011,"Zbiór umownych znakóœ taktycznych i topograficznych oraz skrótów używanych w obronie cywlnej","Ministerstwo obrony narodowej",1,"Specjalności i techniki harcerskie"
1012,"Wiadomości o żeglarstwie część 1","Dariusz Mikołajczyk",1,"Specjalności i techniki harcerskie"
1013,Tropiciele,"hm. B. Gajdeczkowska",1,"Specjalności i techniki harcerskie"
1014,"Terenoznawstwo dla wszystkich","Marian Laprus",1,"Specjalności i techniki harcerskie"
1015,"Tatrzański Park Narodowy",Sygnatura,1,Mapy
1016,"Tatry Polskie i Słowackie, Podhale",Sygnatura,1,Mapy
1017,"Zakopane i okolice",Sygnatura,1,"Specjalności i techniki harcerskie"
1018,"Ambulans harcerski","hm. Wiktor Szyryński",1,"Specjalności i techniki harcerskie"
1019,"Vademecum młodego turysty","Stefan Sosnowski",2,"Specjalności i techniki harcerskie"
1020,"Medycyna w plecaku","A. Jaczewski, K. Łodziński",1,"Specjalności i techniki harcerskie"
1021,"Łódź w baśni i legendzie","Wydawnictwo Literatura",1,"Specjalności i techniki harcerskie"
1022,"Tatry, ilustrowany przewodnik z mapami",Galileos,1,Mapy
1023,"Łódź daleka i bliska",ZAPOL,1,Turystyka
1024,"Song book",Cimea,2,"Śpiewniki"
1025,"Pionierka harcerska","Adam Hyży",3,"Specjalności i techniki"
1026,"Zarys podstaw dydaktyki i metody nauczania w żeglarstwie","Zbigniew Chodnikiewicz, Andrzej Janikowski",1,"Specjalności i techniki"
1027,"Żagle i jachting motorowy","Pismo turystyczno - sportowe",1,"Specjalności i techniki"
1028,"Tablice pomocnicze do szkoleń na stopień sternika jachtowego","Lech Biedrzyński",1,"Śpiewniki"
1029,"Śpiewnik HAL '93","Praca zbiorowa",25,"Śpiewniki"
1030,"Śpiewnik HAL '94","Praca zbiorowa",1,"Śpiewniki"
1031,"Śpiewnik HAL '95","Praca zbiorowa",4,"Śpiewniki"
1032,"Śpiewnik HAL '96","Praca zbiorowa",40,"Śpiewniki"
1033,"Śpiewnik HAL '97","Praca zbiorowa",8,"Śpiewniki"
1034,"Śpiewnik HAL '98","Praca zbiorowa",2,"Śpiewniki"
1035,"Śpiewnik HAL '99","Praca zbiorowa",1,"Śpiewniki"
1036,"Śpiewnik HAL 2000","Praca zbiorowa",7,"Śpiewniki"
1037,"Śpiewnik HAL 2001","Praca zbiorowa",3,"Śpiewniki"
1038,"Śpiewnik HAL 2002","Praca zbiorowa",4,"Śpiewniki"
1039,"Śpiewnik HAL 2003","Praca zbiorowa",5,"Śpiewniki"
1040,"Śpiewnik HAL 2004","Praca zbiorowa",9,"Śpiewniki"
1041,"Śpiewnik HAL 2005","Praca zbiorowa",5,"Śpiewniki"
1042,"Śpiewnik HAL 2006","Praca zbiorowa",9,"Śpiewniki"
1043,"Śpiewnik HAL 2008","Praca zbiorowa",14,"Śpiewniki"
1044,"Śpiewnik HAL 2009","Praca zbiorowa",4,"Śpiewniki"
1045,"Śpiewnik HAL 2010","Praca zbiorowa",8,"Śpiewniki"
1046,"Śpiewnik HAL 2011","Praca zbiorowa",2,"Śpiewniki"
1047,"Śpiewnik HAL 2012","Praca zbiorowa",8,"Śpiewniki"
1048,"Śpiewnik HAL 2013","Praca zbiorowa",1,"Śpiewniki"
1049,"Śpiewnik HAL 2014","Praca zbiorowa",4,"Śpiewniki"
1050,"Śpiewnik HAL 2016","Praca zbiorowa",1,"Śpiewniki"
1051,"Śpiewnik HAL 2017","Praca zbiorowa",1,"Śpiewniki"
1052,"Śpiewnik HAL 2018","Praca zbiorowa",1,"Śpiewniki"
1053,"Śpiewnik HAL 2019","Praca zbiorowa",1,"Śpiewniki"
1054,"Śpiewnik HAL 2021","Praca zbiorowa",1,"Śpiewniki"
1055,"Śpiewnik 60 - lecia Hufca ZHP Łódź - Górna","Praca zbiorowa",2,"Śpiewniki"
1056,"Śpiewnik REBRIK XVI rajd majowy","Praca zbiorowa",6,"Śpiewniki"
1057,"Śpiewnik ZGRED XVIII Rajd Majowy","Praca zbiorowa",3,"Śpiewniki"
1058,"Śpiewnik kursu Vademecum 2015","Praca zbiorowa",1,"Śpiewniki"
1059,"Śpiewnik zlotowy Zlot pożegnalny Chyciny 2015","Praca zbiorowa",4,"Śpiewniki"
1060,"Śpiewnik Kurs Drużynowych Zuchowych ""Krok naprzód""","Praca zbiorowa",6,"Śpiewniki"
1061,"Śpiewnik HAL 1981 ""Z harcerską piosenką na ustach""","Praca zbiorowa",3,"Śpiewniki"
1062,"Śpiewnik 40. rocznica utworzenia Hufca Łódź - Górna 1957 - 1997","Praca zbiorowa",1,"Śpiewniki"
1063,"Śpiewnik Włóczyczłarów Chycina HAL 1897","Praca zbiorowa",1,"Śpiewniki"
1064,"Śpiewniczek Trzy Piórka","Poczta harcerska Szczecin II",1,"Śpiewniki"
1065,"Ognik ","Poczta harcerska Szczecin II",1,"Śpiewniki"
1066,"Śpiewniczek Trzy Pióra (701)","Poczta harcerska Szczecin II",1,"Śpiewniki"
1067,"Śpiewniczek Trzy Pióra (703)","Poczta harcerska Szczecin II",1,"Śpiewniki"
1068,"Roztańczone nutki śpiewnik dla zuchów","Praca zbiorowa",7,"Śpiewniki"
1069,"W kręgu zuchowej piosenki","Praca zbiorowa",5,"Śpiewniki"
1070,"Wesół i śmiały, piosenki zuchowe","Młodzieżowa Agencja Wydawnicza",12,"Śpiewniki"
1071,"Nasze piosenki ","Młodzieżowa Agencja Wydawnicza",21,"Śpiewniki"
1072,"Wierni prawu harcerskiemu. Pielgrzymka Związku Harcerstwa Polskiego do Ojca Świętego",GK,1,"Śpiewniki"
1073,"Śpiewniczek turystyczny, Kolumna 81","Marek Górki",1,"Śpiewniki"
1074,"Szałamaja, Kwidzyn","Hufiec ZHP w Kwidzynie",1,"Śpiewniki"
1075,"Śpiewniczek turystyczny 3","Marek Górki",1,"Śpiewniki"
1076,"Śpiewnik dla ciebie","Spółka Wydawnicza DIANA",1,"Śpiewniki"
1077,"Śpiewnik","Wojewódzki dom kultury w Gorzowie Wlkp.",1,"Śpiewniki"
1078,"Wiersze o górach","SKPB Łódź",1,"Śpiewniki"
1079,"Nasze pieśni","Stowarzyszenie Szarych Szeregów - Kominy",1,"Śpiewniki"
1080,"""Plecak pełen nut"", śpiewniczek festiwalowy","Chorągiew Łódzka ZHP",6,"Śpiewniki"
1081,"Śpiewnik turystyczny 4","Marek Górki",1,"Śpiewniki"
1082,"""Płynie pieśń po wodzie""","ZKT ""Rejsy""",1,"Śpiewniki"
1083,"77 piosenek żeglarskich","akż-Łódź",1,"Śpiewniki"
1084,"Śpiewnik pieśni patriotycznej","Szczep ""Myśli Braterskiej""",1,"Śpiewniki"
1085,"Z dziejów piosenki harcerskiej","Jadwiga Skiba ",3,"Śpiewniki"
1086,"Roztańczone nutki ","Krzysztof Heering",3,"Śpiewniki"
1087,"Załęczańskie śpiewanki","Praca zbiorowa",1,"Śpiewniki"
1088,"Pieśni Ariadny","Praca zbiorowa",3,"Śpiewniki"
1089,"Śpiewniczek bieszczadniczek 1980","Stanica Kieleckiej Chorągwi ZHP",6,"Śpiewniki"
1090,"Śpiewniczek bieszczadniczek 1984","Stanica Kieleckiej Chorągwi ZHP",1,"Śpiewniki"
1091,"Śpiewniczek bieszczadniczek ","Stanica Kieleckiej Chorągwi ZHP",1,"Śpiewniki"
1092,"Śpiewniczek bieszczadniczek 1979","Stanica Kieleckiej Chorągwi ZHP",2,"Śpiewniki"
1093,"Śpiewnik",Literat,1,"Śpiewniki"
1094,"Śpiewniczek","Do użytku wewnętrznego!ogenjycazinagrostąnwew uktyżu oD",1,"Śpiewniki"
1095,Przeboje,Datajana,2,"Śpiewniki"
1096,"Pod namiotem słońca","Dziennik Wieczorny",2,"Śpiewniki"
1097,"Kolorowe piosenki 1","Lech Krasucki",1,"Śpiewniki"
1098,"Kolorowe piosenki 2","Lech Krasucki",1,"Śpiewniki"
1099,"Kolorowe piosenki 3","Lech Krasucki",1,"Śpiewniki"
1100,"Kolorowe piosenki 4","Lech Krasucki",1,"Śpiewniki"
1101,"Zuchy śpiewają","Szczep Młodych Orląt",1,"Śpiewniki"
1102,"Piosenki z Łopienki","Zbyszek Kaszuba",2,"Śpiewniki"
1103,"Śpiewnik obozowy - Grotów 2010","XXIX ŁDH Gniazdo",1,"Śpiewniki"
1104,"Druhna nutka ","ŁDK",2,"Śpiewniki"
1105,"Wielki Śpiewnik Polski","Włodzimierz Wieczorek",1,"Śpiewniki"
1106,"Stare Dobre Małżeństwo",Antologia,1,"Śpiewniki"
1107,"Śpiewnik Polski ","In Rock ",1,"Śpiewniki"
1108,"Rajdowy śpiewnik ","Studenckie towarzystwo Górnicze",1,"Śpiewniki"
1109,"Śpiewaj z nami 5",Croma,1,"Śpiewniki"
1110,"Śpiewaj z nami 4",Croma,1,"Śpiewniki"
1111,"Poradnik maestra","Jan Szczepańczyk",1,"Śpiewniki"
1112,"Śpiewniczek Bieliczek","Hufiec Nadodrzański",1,"Śpiewniki"
1113,"Harcerska operacja Bieszczady","Stanica Chorągwi Lubelskiej",1,"Śpiewniki"
1114,"Śpiewanie w Siedlcach - 19 ogólnopolski Harcerski  Festiwal Piosenki","CKiS Sokól Podlaski",1,"Śpiewniki"
1115,"Śpiewnik paryski",brak,1,"Śpiewniki"
1116,"Śpiewnik zastępu","Alina Leciejewska - Nosal",1,"Śpiewniki"
1117,"Pieśni wielorybnicze","Zespół 4 refy",1,"Śpiewniki"
1118,"Szkice z dziejów harcerstwa polskiego w latach 1911 - 1939","Eugeniusz Sikorski",14,Historyczne
1119,"Harcerstwo a narodziny i początki II Rzeczypospolitej (1910-1921) cz. I","Marian Marek Drozdowski",4,Historyczne
1120,"Harcerstwo a narodziny i początkki II Rzeczpospolitej (1910 - 1921). część II","Marian Marek Drozdowski",4,Historyczne
1121,"Harcerki 1939-1945","Krystyna Wyczańska",9,Historyczne
1122,"Zapiski dziennikarki warszawszkiej 1939 - 1947","Jadwiga Krawczyńska",1,Historyczne
1123,"Najmłodsi żołnierze walczącej Warszawy","Andrzej Czarski",1,Historyczne
1124,"Zwiadowcy z Szarych Szeregów ","Józef Krzyczkowski",1,Historyczne
1125,"Bohaterowie spod znaku szarej lilijki","Andrzej Szefer",1,Historyczne
1126,"Bo Polska to ty! Listy Olgi i Andrzeja Małkowskich z lat 1911 - 1933","Małgorzata Jarosińska",1,Historyczne
1127,"Leksykon; wszystko o Powstaniu Warszawskim","Lesław M. Bartelski",1,Historyczne
1128,"Okręg Łódzki Armii Krajowej","pod. red. Marka Budziarka",2,Historyczne
1129,"Zarys dziejów ZWM","Czesław Kozłowski",1,Historyczne
1130,"Pierwszy polscy podróżnicy w Stanach Zjednoczonych","Longin Pastusiak",1,Historyczne
1131,"Główne nurty ideowe w ZHP w latach 1918-1939","Jerzy Gaj",2,Historyczne
1132,"Polskie harcerki w dziesięcioleciu 1911-1921","Janina Opieńska0Blauth",2,Historyczne
1133,"Szkoła Orląt","Janusz Meissner",1,Historyczne
1134,"Krakowski Skauting 1910 - 1914","Wojciech Hausner",1,Historyczne
1135,"Konspiracyjne harcerstwo Chorągwii Łódzkich 1939-1945","Marek Pawłowski",1,Historyczne
1136,"Szare Szeregi ","Tomasz Adamczak",5,Historyczne
1137,"Wspomnienia żołnierza baonu AK ""Zośka""","Julian Bogdan Deczkowski - ""Laudański""",1,Historyczne
1138,"Żołnierze łączności walczącej Warszawy","Kazimierz Malinowski",1,Historyczne
1139,"Archiwalia, wybór tekstów","Andrzej i Olga Małkowscy",4,Historyczne
1140,"W służbie ojczyźnie. Z działalności Związku Harcerstwa Polskiego w okresie międzywojennym.","Praca zbiorowa pod. red. Moniki Kała",2,Historyczne
1141,"1957-1997; 40 lat 18 ŁDH ""Wierchy""","18 ŁDH ""Wierchy""",4,Historyczne
1142,"Harcerz, żołnierz, obywatel","Maria Wiśniewska",5,Historyczne
1143,"Harce młodzieży polskiej","E. Piasecki, M. Schreiber",4,Historyczne
1144,"Druhno Oleńko! Druhu Andrzeju! Gawęda o twórcach Związku Harcerstwa Polskiego.","Barbara Wachowicz",5,Historyczne
1145,"Kamyk na szańcu - gawęda o druhu Aleksandrze Kamińskim w stuleciu urodzin .","Barbara Wachowicz",2,Historyczne
1146,"Rudy, Alek, Zośka - gawęda o bohaterach ""Kamieni na szaniec""","Barbara Wachowicz",1,Historyczne
1147,"Harcerski słownik biograficzny tom III","Janusz Wojtycza",3,Historyczne
1148,"Olga Malkowska, życie i ziałalność","Zofia Florczak",2,Historyczne
1149,"""Wróbel"" z ""Kamieni na szaniec""","Juliusz Bogdan Deczkowski",2,Historyczne
1150,"Bogactwo życia i tweórczości Aleksandra Kamińskiego","Irena Lepalczyk",1,Historyczne
1151,"Druhna Oleńka zapiski","Naczelnictwo ZHR",1,Historyczne
1152,"Bitwy polskiego września 2","Apoloniusz Zawilski",1,Historyczne
1153,"Akcja Koppe","Piotr Stachiewicz",2,Historyczne
1154,"Benefis Konspiratora","Stanisław Miedza - Tomaszewski",1,Historyczne
1155,"Bezimienni ","Paweł i Maria Lisiewicz",1,Historyczne
1156,"Dziennik harcerza i ""Szarotki""","Edwar Niesobski, Jadwiga Pfeiferówna",4,Historyczne
1157,"Cichociemni z Polski do Polski","Jan Szatsznajder",1,Historyczne
1158,"trzy młodości ruchu zuchowego ","Leon Dmytrowski",13,Historyczne
1159,"My z Szarych Szeregów, opowieść z lat wojny","Jadwiga Stępieniowa",2,Historyczne
1160,"Harcerze z Szarych Szeregów ","Jerzy Jabrzemski",1,Historyczne
1161,"Od Brygady Karpackiej do Tengeru. Z dziejów harcerstwa polskiego na Wschodzie 1940 - 1948.","Tadeusz Truchanewicz",2,Historyczne
1162,"Andrzej Małkowski","Aleksander Kamiński",2,Historyczne
1163,"Harcmistrz Rzeczypospolitej Stanisław Sedlaczek","Ks. Marian Sedlaczek, Wanda Sedlaczek",2,Historyczne
1164,"Zeszyty Historyczne Harcerstwa. Geneza Harcerstwa.","Marian Miszczuk",5,Historyczne
1165,"Harcerstwo żeńskie w Warszawie w latach 1911 -1949","Anna Zawadzka",1,Historyczne
1166,"Batalion ""Zośka""","Anna Borkiewicz-Celińska",3,Historyczne
1167,"Alert trwał 5 lat","Zygmunt Zonik",3,Historyczne
1168,"""Jodła"" ","Wojciech Borzobohaty",1,Historyczne
1169,"Naczelne hasła moralne skautingu","ks. Wiktor Jacewicz",3,Historyczne
1170,"Odrodzenie harcerstwa w 1956 roku","Krzysztof Persak",3,Historyczne
1171,"Kazimierz Lutosławski, twórca krzyża harc erskiego","Ks. Pralat dr",5,Historyczne
1172,"Druh Wicek. Patron harcerzy polskich.","Jaromir Durczewski",2,Historyczne
1173,"Biuletyn Nr 1 Rok IV","Federacja Socjalistycznych Związków Młodzieży Polskiej",4,Historyczne
1174,"Pełnić służbę... Z pamiętników i wspomnień harcerek Warszawy 1939-1945","Donata Eska",3,Historyczne
1175,"Szare Szeregi. Harcerze 1939 - 1945. Tom 1","Jerzy Jabrzemski",1,Historyczne
1176,"Szare Szeregi. Harcerze 1939 - 1945. Tom 2","Jerzy Jabrzemski",3,Historyczne
1177,"Szare Szeregi. Harcerze 1939 - 1945. Tom 3 ","Jerzy Jabrzemski",2,Historyczne
1178,"25770 kilometrów ponad Afryką","Stanisław Skarżyński",2,Historyczne
1179,"Gawędy o tych, które przewodziły cz. 1","Anna Zawadzka",1,Historyczne
1180,"Gawędy o tych, które przewodziły cz. 2","Anna Zawadzka",2,Historyczne
1181,"Gawędy o tych, które przewodziły cz. 3","Anna Zawadzka",2,Historyczne
1182,"Wśród Ludzi i Książek ","Irena Lepalczyk",3,Historyczne
1183,"Gawęda o Stefanie Mirowskim","Marian Michałowski",2,Historyczne
1184,"Gawęda nad Turawą","Stanisław Broniewski ps. ""Stefan Orsza""",4,Historyczne
1185,"Szare Szeregi ","Stanisław Broniewski ps. ""Stefan Orsza""",3,Historyczne
1186,"Robert Baden - Powell. Twórca skautingu.","Terescio Bosco",5,Historyczne
1187,"Szare szeregi jako organizacja wychowawcha","Tomasz Strzembosz",3,Historyczne
1188,"Kalendarium walki i męczeństwa narodu polskiego","Mieczysław Kasprzyk i inni",3,Historyczne
1189,"Harcerskieodznaki honorowe","Tomasz Sikorski",3,Historyczne
1190,"Powstanie Warszawskie","Jerzy Kirchmayer",1,Historyczne
1191,"Dziewczęta z parasola","Danuta Kaczyńska",1,Historyczne
1192,"Barykady Powstania Warszawskiego 1944","Romuald Śreniawa - Szypiowski",1,Historyczne
1193,"Pluton pancerny w Powstaniu Warszawskim","Anna Wyganowska-Eriksson",1,Historyczne
1194,"Zawisza Czarny. Rycerz bez skazy.","Stefan Wojtkiewicz ",1,Historyczne
1195,"Pseudonim ""Jacek""","Zbigniew Zürn - Zahorski",1,Historyczne
1196,"Wyrwani z szeregów","Zygmunt Zonik",1,Historyczne
1197,"To nie takie proste","Stanisław Broniewski ps. ""Stefan Orsza""",1,Historyczne
1198,"Harcerski Antologia Papieska","Prof. dr Marian Marek Drozdowski",1,Historyczne
1199,"303 wzloty i upadki","Antoni Ares",1,Historyczne
1200,"XXXVI rajd arsenał. Czas bohaterów ","Katarzyna Hołomiej",2,Historyczne
1201,"Studia z dziejów harcerstwa 1944 - 1989","pod. red. Marka Wierzbickiego",1,Historyczne
1202,"Bitwa pod Raszynem","W. Przyborowski",1,Historyczne
1203,"z harcerzami na Zawiszy Czarnym","Mariusz Zaruski",1,Historyczne
1204,"Warszawski dowcip w walce 1939 - 1944","Leszek Bubel",1,Historyczne
1205,"Bez broni","Eugeniusz Dąbrowski",1,Historyczne
1206,"Konspiracja płodzieży w okupowanej Polsce ","Bogdan Hillebrandt",1,Historyczne
1207,"Zośka i Parasol","Aleksander Kamiński",5,Historyczne
1208,Parasol,"Piotr Stachiewicz",2,Historyczne
1209,"Wspomnienia żołnierzy baonu ""Zośka""","Tadeusz Sumiński",5,Historyczne
1210,"Na szlakach harcerskiego 1957-1997 cz. 1","Hm. Stefan Romaniwski",1,Historyczne
1211,"Na szlakach harcerskiego 1957-1997 cz. 2","Hm. Stefan Romaniwski",1,Historyczne
1212,"Ochrona porządku i bezpieczeństwa publicznego w Powstaniu Warszawskim","Janusz Marszalec",1,Historyczne
1213,"kartki z historii i tradycji Związku Harcerstwa Polskiego ","Jerzy Majka",7,Historyczne
1214,"Byli żołnierzami Parasola","D. Kaczyńska",4,Historyczne
1215,"Z dziejów Harcerstwa Polskiego","Wacław Błażejewski",5,Historyczne
1216,"Florian Marciniak. Naczelnik Szarych Szeregów.","Stanisław Broniewski ps. ""Stefan Orsza""",3,Historyczne
1217,"Styl życia ","Stefan Mirowski",6,Historyczne
1218,"Polsce Ludowej na XXX urodziny. I","V Pleneum Rady Naczelnej Związku Harcerstwa Polskiego",2,Historyczne
1219,"Harcerstwo w obronie Warszawy 1939","Michał Haykowski",5,Historyczne
1220,"Moje harcerstwi","Irena Lepalczyk",3,Historyczne
1221,"Harcerze w bojach w latach 1914-1921 część druga","Inż. Władysław Nerkasz",1,Historyczne
1222,"Harcerze w bojach w latach 1914-1922","Inż. Władysław Nerkasz",1,Historyczne
1223,"Rocznik Historii Harcerstwa 3","Ogólnopolski Klub Autorów i Dokumentalistów Historii Harcerstwa",1,Historyczne
1224,"Rocznik Historii Harcerstwa 4","Ogólnopolski Klub Autorów i Dokumentalistów Historii Harcerstwa",1,Historyczne
1225,"Rocznik Historii Harcerstwa 5","Ogólnopolski Klub Autorów i Dokumentalistów Historii Harcerstwa",1,Historyczne
1226,"Całym życiem; Szare Szeregi w relacji naczelnika","Stanisław Broniewski ps. ""Stefan Orsza""",5,Historyczne
1227,"Z głową na karabinie ","Lesław M. Bartelski",3,Historyczne
1228,"Orszak Majora Hubala","Marek Szymański",1,Historyczne
1229,"Akcja pod Arsenałem","Stanisław Broniewski ps. ""Stefan Orsza""",2,Historyczne
1230,"Akcja Kutschera","Piotr Stachiewicz",4,Historyczne
1231,"Batalion Harcerski ""Wigry""","Robert Bielecki",2,Historyczne
1232,"Krzyż harcerski","Tomasz Sikorski",6,Historyczne
1233,"Zeszyty Historyczne Harcerstwa. Wspomnienia harcerskie.","Antoni Nowak",1,Historyczne
1234,"Czuj duch!","X. Jan Zawada",1,Historyczne
1235,"Almanach Harcerski","Ks. Stefan Miecznikowski SJ",2,Historyczne
